name1,season1,ppg1,apg1,rpg1,bpg1,spg1,tov1,gp1,mp1,sp1,name2,season2,ppg2,apg2,rpg2,bpg2,spg2,tov2,gp2,mp2,sp2,label
Ben Simmons,2020-21,14.3,6.9,7.2,1.6,0.6,3.0,58.0,32.4,0.557,Bam Adebayo,2020-21,18.7,5.4,9.0,1.2,1.0,2.6,64.0,33.5,0.57,1.0
Bam Adebayo,2020-21,18.7,5.4,9.0,1.2,1.0,2.6,64.0,33.5,0.57,Devin Booker,2018-19,26.6,6.8,4.1,0.9,0.2,4.1,64.0,35.0,0.467,0.0
Devin Booker,2018-19,26.6,6.8,4.1,0.9,0.2,4.1,64.0,35.0,0.467,Bam Adebayo,2020-21,18.7,5.4,9.0,1.2,1.0,2.6,64.0,33.5,0.57,1.0
Bam Adebayo,2020-21,18.7,5.4,9.0,1.2,1.0,2.6,64.0,33.5,0.57,Devin Booker,2021-22,23.2,4.5,4.9,0.9,0.2,2.7,21.0,32.2,0.458,0.5
Devin Booker,2021-22,23.2,4.5,4.9,0.9,0.2,2.7,21.0,32.2,0.458,Bam Adebayo,2020-21,18.7,5.4,9.0,1.2,1.0,2.6,64.0,33.5,0.57,0.5
Bam Adebayo,2020-21,18.7,5.4,9.0,1.2,1.0,2.6,64.0,33.5,0.57,Dirk Nowitzki,2012-13,17.3,2.5,6.8,0.7,0.7,1.3,53.0,31.3,0.471,0.5
Dirk Nowitzki,2012-13,17.3,2.5,6.8,0.7,0.7,1.3,53.0,31.3,0.471,Bam Adebayo,2020-21,18.7,5.4,9.0,1.2,1.0,2.6,64.0,33.5,0.57,0.5
Bam Adebayo,2020-21,18.7,5.4,9.0,1.2,1.0,2.6,64.0,33.5,0.57,Dwyane Wade,2016-17,18.3,3.8,4.5,1.4,0.7,2.3,60.0,29.9,0.434,0.0
Dwyane Wade,2016-17,18.3,3.8,4.5,1.4,0.7,2.3,60.0,29.9,0.434,Bam Adebayo,2020-21,18.7,5.4,9.0,1.2,1.0,2.6,64.0,33.5,0.57,1.0
Bam Adebayo,2020-21,18.7,5.4,9.0,1.2,1.0,2.6,64.0,33.5,0.57,Tim Duncan,2015-16,8.6,2.7,7.3,0.8,1.3,1.5,61.0,25.2,0.488,0.5
Tim Duncan,2015-16,8.6,2.7,7.3,0.8,1.3,1.5,61.0,25.2,0.488,Bam Adebayo,2020-21,18.7,5.4,9.0,1.2,1.0,2.6,64.0,33.5,0.57,0.5
Bam Adebayo,2020-21,18.7,5.4,9.0,1.2,1.0,2.6,64.0,33.5,0.57,Zion Williamson,2020-21,27.0,3.7,7.2,0.9,0.6,2.7,61.0,33.2,0.611,1.0
Zion Williamson,2020-21,27.0,3.7,7.2,0.9,0.6,2.7,61.0,33.2,0.611,Bam Adebayo,2020-21,18.7,5.4,9.0,1.2,1.0,2.6,64.0,33.5,0.57,0.0
Bam Adebayo,2021-22,18.7,3.2,10.2,1.1,0.3,2.9,18.0,32.9,0.519,Donovan Mitchell,2019-20,24.0,4.3,4.4,1.0,0.2,2.7,69.0,34.3,0.449,0.25
Donovan Mitchell,2019-20,24.0,4.3,4.4,1.0,0.2,2.7,69.0,34.3,0.449,Bam Adebayo,2021-22,18.7,3.2,10.2,1.1,0.3,2.9,18.0,32.9,0.519,0.75
Bam Adebayo,2021-22,18.7,3.2,10.2,1.1,0.3,2.9,18.0,32.9,0.519,Kevin Durant,2011-12,28.0,3.5,8.0,1.3,1.2,3.8,66.0,38.6,0.496,1.0
Kevin Durant,2011-12,28.0,3.5,8.0,1.3,1.2,3.8,66.0,38.6,0.496,Bam Adebayo,2021-22,18.7,3.2,10.2,1.1,0.3,2.9,18.0,32.9,0.519,0.0
Bam Adebayo,2021-22,18.7,3.2,10.2,1.1,0.3,2.9,18.0,32.9,0.519,Nikola Jokić,2020-21,26.4,8.3,10.8,1.3,0.7,3.1,72.0,34.6,0.566,0.3333333333333333
Nikola Jokić,2020-21,26.4,8.3,10.8,1.3,0.7,3.1,72.0,34.6,0.566,Bam Adebayo,2021-22,18.7,3.2,10.2,1.1,0.3,2.9,18.0,32.9,0.519,0.6666666666666667
Bam Adebayo,2021-22,18.7,3.2,10.2,1.1,0.3,2.9,18.0,32.9,0.519,Zion Williamson,2019-20,22.5,2.1,6.3,0.7,0.4,2.5,24.0,27.8,0.583,0.5
Zion Williamson,2019-20,22.5,2.1,6.3,0.7,0.4,2.5,24.0,27.8,0.583,Bam Adebayo,2021-22,18.7,3.2,10.2,1.1,0.3,2.9,18.0,32.9,0.519,0.5
Ben Simmons,2017-18,15.8,8.2,8.1,1.7,0.9,3.4,81.0,33.7,0.545,Chris Paul,2012-13,16.9,9.7,3.7,2.4,0.1,2.3,70.0,33.4,0.481,0.0
Chris Paul,2012-13,16.9,9.7,3.7,2.4,0.1,2.3,70.0,33.4,0.481,Ben Simmons,2017-18,15.8,8.2,8.1,1.7,0.9,3.4,81.0,33.7,0.545,1.0
Ben Simmons,2017-18,15.8,8.2,8.1,1.7,0.9,3.4,81.0,33.7,0.545,Jimmy Butler,2013-14,13.1,2.6,4.9,1.9,0.5,1.5,67.0,38.7,0.397,1.0
Jimmy Butler,2013-14,13.1,2.6,4.9,1.9,0.5,1.5,67.0,38.7,0.397,Ben Simmons,2017-18,15.8,8.2,8.1,1.7,0.9,3.4,81.0,33.7,0.545,0.0
Ben Simmons,2018-19,16.9,7.7,8.8,1.4,0.8,3.5,79.0,34.2,0.563,Kawhi Leonard,2017-18,16.2,2.3,4.7,2.0,1.0,1.8,9.0,23.3,0.468,0.0
Kawhi Leonard,2017-18,16.2,2.3,4.7,2.0,1.0,1.8,9.0,23.3,0.468,Ben Simmons,2018-19,16.9,7.7,8.8,1.4,0.8,3.5,79.0,34.2,0.563,1.0
Ben Simmons,2018-19,16.9,7.7,8.8,1.4,0.8,3.5,79.0,34.2,0.563,Paul George,2020-21,23.3,5.2,6.6,1.1,0.4,3.3,54.0,33.7,0.467,0.0
Paul George,2020-21,23.3,5.2,6.6,1.1,0.4,3.3,54.0,33.7,0.467,Ben Simmons,2018-19,16.9,7.7,8.8,1.4,0.8,3.5,79.0,34.2,0.563,1.0
Ben Simmons,2020-21,14.3,6.9,7.2,1.6,0.6,3.0,58.0,32.4,0.557,Kevin Durant,2011-12,28.0,3.5,8.0,1.3,1.2,3.8,66.0,38.6,0.496,1.0
Kevin Durant,2011-12,28.0,3.5,8.0,1.3,1.2,3.8,66.0,38.6,0.496,Ben Simmons,2020-21,14.3,6.9,7.2,1.6,0.6,3.0,58.0,32.4,0.557,0.0
